Tahun Tracer Study,Jurusan,Pekerjaan dengan kuliah tidak sesuai (%),Jumlah responden,Weighted Sum
2022,MRI,0.25,32,8
2022,Bioenergi,0.67,18,12.06
2022,Teknik Fisika,0.52,56,29.12
2022,Teknik Industri,0.42,76,31.92
2022,Teknik Kimia,0.61,54,32.94
2022,Teknik Pangan,0.71,28,19.88
2021,MRI,0.27,37,9.99
2021,Teknik Fisika,0.5,56,28
2021,Teknik Industri,0.32,90,28.8
2021,Teknik Kimia,0.46,97,44.62
2020,Teknik Industri,0.42,74,31.08
2020,MRI,0.19,21,3.99
2020,Teknik Fisika,0.67,52,34.84
2020,Teknik Kimia,0.45,89,40.05
2020,Matematika,0.34,67,22.78
2020,Fisika,0.83,53,43.99
2020,Kimia,0.35,49,17.15
2020,Astronomi,0.86,14,12.04
2020,Tenaga Listrik,0.29,35,10.15
2020,Teknik Telekomunikasi,0.39,18,7.02
2020,Teknik Elektro,0.52,88,45.76
2020,Teknik Informatika,0,66,0
2020,Sistem dan Teknologi Informasi,0.14,28,3.92
2021,Matematika,0.35,78,27.3
2021,Fisika,0.81,54,43.74
2021,Kimia,0.4,40,16
2021,Astronomi,0.78,18,14.04
2021,Tenaga Listrik,0.33,27,8.91
2021,Sistem dan Teknologi Informasi,0.06,33,1.98
2021,Teknik Elektro,0.59,94,55.46
2021,Teknik Informatika,0.05,61,3.05
2021,Teknik Telekomunikasi,0.39,23,8.97
2022,Matematika,0.33,70,23.1
2022,Fisika,0.9,39,35.1
2022,Kimia,0.52,29,15.08
2022,Astronomi,0.79,14,11.06
2022,Teknik Elektro,0.54,48,25.92
2022,Tenaga Listrik,0.22,23,5.06
2022,Teknik Telekomunikasi,0.63,30,18.9
2022,Teknik Biomedis,0.29,14,4.06
2022,Teknik Informatika,0.04,98,3.92
2022,Sistem dan Teknologi Informasi,0.11,27,2.97
2022,Teknik Geologi,0.51,47,23.97
2022,Meteorologi,0.68,22,14.96
2022,Oseanografi,0.7,20,14
2022,Teknik Geodesi dan Geomatika,0.38,69,26.22
2022,Desain Interior,0.31,13,4.03
2022,Desain Komunikasi Visual,0,25,0
2022,Desain Produk,0.19,16,3.04
2022,Kriya,0.6,15,9
2022,Seni Rupa,0.67,9,6.03
2022,Teknik Dirgantara,0.65,23,14.95
2022,Teknik Material,0.56,25,14
2022,Teknik Mesin,0.51,101,51.51
2022,Teknik Geofisika,0.76,38,28.88
2022,Teknik Metalurgi,0.35,49,17.15
2022,Teknik Perminyakan,0.41,71,29.11
2022,Teknik Pertambangan,0.34,50,17
2022,Teknik Sipil,0.28,100,28
2022,Teknik Lingkungan,0.31,51,15.81
2022,Teknik Kelautan,0.38,48,18.24
2022,Teknik dan Pengelolaan Sumber Daya Air,0.14,29,4.06
2022,Rekayasa Infrastruktur Lingkungan,0,15,0
2022,Manajemen,0.26,65,16.9
2022,Kewirausahaan,0.35,23,8.05
2022,Sains dan Teknologi Farmasi,0.24,75,18
2022,Farmasi Klinik dan Komunitas,0.17,24,4.08
2022,Biologi,0.45,49,22.05
2022,Microbiologi,0.33,30,9.9
2022,Rekayasa Kehutanan,0.63,30,18.9
2022,Rekayasa Pertanian,0.48,21,10.08
2022,Teknologi Pascapanen,0.7,23,16.1
2022,Rekayasa Hayati,0.74,27,19.98
2022,Arsitektur,0.43,54,23.22
2022,Perencanaan Wilayah dan Kota,0.23,60,13.8
2021,Teknik Geologi,0.34,55,18.7
2021,Teknik Geodesi dan Geomatika,0.61,77,46.97
2021,Oseanografi,0.67,30,20.1
2021,Meteorologi,0.75,16,12
2021,Desain Interior,0.32,28,8.96
2021,Desain Komunikasi Visual,0.11,35,3.85
2021,Desain Produk,0.43,30,12.9
2021,Kriya,0.37,19,7.03
2021,Seni Rupa,0.54,13,7.02
2021,Teknik Dirgantara,0.55,47,25.85
2021,Teknik Material,0.69,15,10.35
2021,Teknik Mesin,0.35,113,39.55
2021,Rekayasa Infrastruktur Lingkungan,0.15,19,2.85
2021,Teknik dan Pengelolaan Sumber Daya Air,0.17,28,4.76
2021,Teknik Kelautan,0.41,61,25.01
2021,Teknik Lingkungan,0.37,74,27.38
2021,Teknik Sipil,0.29,125,36.25
2021,Teknik Perminyakan,0.42,82,34.44
2021,Teknik Pertambangan,0.23,71,16.33
2021,Teknik Metalurgi,0.29,99,28.71
2021,Teknik Geofisika,0.74,51,37.74
2021,Arsitektur,0.45,72,32.4
2021,Perencanaan Wilayah dan Kota,0.27,59,15.93
2021,Manajemen,0.27,111,29.97
2021,Kewirausahaan,0.4,15,6
2021,Farmasi Klinik dan Komunitas,0.11,28,3.08
2021,Sains dan Teknologi Farmasi,0.21,78,16.38
2021,Biologi,0.39,31,12.09
2021,Microbiologi,0.52,31,16.12
2021,Rekayasa Kehutanan,0.53,32,16.96
2021,Rekayasa Hayati,0.52,25,13
2021,Rekayasa Pertanian,0.59,34,20.06
2020,Teknik Geologi,0.54,54,29.16
2020,Teknik Geodesi dan Geomatika,0.25,69,17.25
